City,Cuisines, Average Rating City-Cuisine Pair , Total Votes for a City-Cuisine Pair ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
Noida,"Mughlai, North Indian", -   , 1.00 ,,
Noida,"Mughlai, North Indian", -   , 1.00 ,,
Noida,"Mughlai, North Indian", -   , 1.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
New Delhi,Chinese, 4.10 , 218.00 ,,
Manchester,British, 4.00 , 33.00 ,,
Patna,"Biryani, Mughlai", 3.80 , 33.00 ,,
Lucknow,"North Indian, Chinese, Mughlai", 3.10 , 34.00 ,,
Nagpur,"Fast Food, Chinese", 3.80 , 35.00 ,,
Sandton,"Italian, Pizza, Beverages, Desserts, Grill, Seafood", 3.90 , 33.00 ,,
Gurgaon,"Cafe, Belgian", 4.20 , 29.00 ,,
New Delhi,"North Indian, Italian, Asian, American", 4.10 , 35.00 ,,
Allahabad,"Mughlai, North Indian, Chinese", 3.20 , 29.00 ,,
New Delhi,"North Indian, Finger Food, Italian, Chinese", 3.20 , 30.00 ,,
Pocatello,"Desserts, Thai", 3.70 , 33.00 ,,
New Delhi,"Bakery, Mithai", 3.00 , 25.00 ,,
New Delhi,"Bakery, Mithai", 3.00 , 25.00 ,,
New Delhi,"Bakery, Mithai", 3.00 , 25.00 ,,
New Delhi,"Bakery, Mithai", 3.00 , 25.00 ,,
Gurgaon,"Chinese, Seafood, Japanese", 3.20 , 32.00 ,,
Gurgaon,"Healthy Food, Continental", 3.20 , 30.00 ,,
Gurgaon,"Healthy Food, Continental", 3.20 , 30.00 ,,
Gurgaon,"Bakery, Desserts, Beverages", 3.90 , 35.00 ,,
Ludhiana,"European, Chinese", 3.20 , 33.00 ,,
Athens,American, 3.70 , 100.00 ,,
New Delhi,"Chinese, South Indian, North Indian", 3.60 , 92.00 ,,
New Delhi,"Chinese, South Indian, North Indian", 3.60 , 92.00 ,,
Gurgaon,"Mughlai, North Indian", 3.60 , 76.00 ,,
Gurgaon,"Mughlai, North Indian", 3.60 , 76.00 ,,
